route_id,service_id,trip_id
S1390,weekday,weekday_S1390_S139001_1
S1390,weekday,weekday_S1390_S139002_2
S1390,weekday,weekday_S1390_S139001_2
S1390,weekday,weekday_S1390_S139002_3
S1390,weekday,weekday_S1390_S139001_3
S1390,weekday,weekday_S1390_S139002_4
S1390,weekday,weekday_S1390_S139001_4
S1390,weekday,weekday_S1390_S139002_5
S1390,weekday,weekday_S1390_S139001_5
S1390,weekday,weekday_S1390_S139002_6
S1390,weekday,weekday_S1390_S139001_6
S1390,weekday,weekday_S1390_S139002_7
S1390,weekday,weekday_S1390_S139002_8
S1390,weekend,weekend_S1390_S139002_0
S1390,weekend,weekend_S1390_S139001_0
S1390,weekend,weekend_S1390_S139002_1
S1390,weekend,weekend_S1390_S139001_1
S1390,weekend,weekend_S1390_S139002_2
S1390,weekend,weekend_S1390_S139001_2
S1390,weekend,weekend_S1390_S139002_3
S1390,weekend,weekend_S1390_S139001_3
S1390,weekend,weekend_S1390_S139002_4
S1390,weekend,weekend_S1390_S139001_4
S1390,weekend,weekend_S1390_S139002_5
S1390,weekend,weekend_S1390_S139002_6
U1700,weekday,weekday_U1700_U170002_0
U1700,weekday,weekday_U1700_U170002_1
U1700,weekday,weekday_U1700_U170002_2
U1700,weekday,weekday_U1700_U170002_3
U1700,weekday,weekday_U1700_U170002_4
U1700,weekday,weekday_U1700_U170002_5
U1700,weekday,weekday_U1700_U170002_6
S1490,weekday,weekday_S1490_S149002_0
S1490,weekday,weekday_S1490_S149002_1
S1490,weekday,weekday_S1490_S149002_2
S1490,weekday,weekday_S1490_S149002_3
S1490,weekday,weekday_S1490_S149002_4
S1490,weekday,weekday_S1490_S149002_5
S1490,weekday,weekday_S1490_S149002_6
S1490,weekday,weekday_S1490_S149002_7
S1490,weekday,weekday_S1490_S149002_8
S1490,weekday,weekday_S1490_S149002_9
S1490,weekday,weekday_S1490_S149002_10
S1490,weekday,weekday_S1490_S149002_11
U1700,weekend,weekend_U1700_U170002_0
U1700,weekend,weekend_U1700_U170002_1
U1700,weekend,weekend_U1700_U170002_2
U1700,weekend,weekend_U1700_U170002_3
U1700,weekend,weekend_U1700_U170002_4
U1700,weekend,weekend_U1700_U170002_5
S1490,weekend,weekend_S1490_S149002_0
S1490,weekend,weekend_S1490_S149002_1
S1490,weekend,weekend_S1490_S149002_2
S1490,weekend,weekend_S1490_S149002_3
S1490,weekend,weekend_S1490_S149002_4
S1490,weekend,weekend_S1490_S149002_5
S1490,weekend,weekend_S1490_S149002_6
S1490,weekend,weekend_S1490_S149002_7
S1490,weekend,weekend_S1490_S149002_8
S1490,weekend,weekend_S1490_S149002_9
S1490,weekend,weekend_S1490_S149002_10
S1490,weekend,weekend_S1490_S149002_11
U2010,weekday,weekday_U2010_U201002_0
U2010,weekday,weekday_U2010_U201002_1
U2010,weekday,weekday_U2010_U201002_2
U2010,weekday,weekday_U2010_U201002_3
U2010,weekday,weekday_U2010_U201002_4
U2010,weekday,weekday_U2010_U201002_5
U2010,weekday,weekday_U2010_U201002_6
U2010,weekday,weekday_U2010_U201002_7
U2010,weekday,weekday_U2010_U201002_8
U2010,weekday,weekday_U2010_U201002_9
U2010,weekend,weekend_U2010_U201002_0
U2010,weekend,weekend_U2010_U201002_1
U2010,weekend,weekend_U2010_U201002_2
U2010,weekend,weekend_U2010_U201002_3
U2010,weekend,weekend_U2010_U201002_4
U2010,weekend,weekend_U2010_U201002_5
U2010,weekend,weekend_U2010_U201002_6
U2010,weekend,weekend_U2010_U201002_7
U2010,weekend,weekend_U2010_U201002_8
P0010,weekday,weekday_P0010_P001002_0
P0010,weekday,weekday_P0010_P001001_0
P0010,weekday,weekday_P0010_P001002_1
P0010,weekday,weekday_P0010_P001001_1
P0010,weekday,weekday_P0010_P001002_2
P0010,weekday,weekday_P0010_P001001_2
P0010,weekday,weekday_P0010_P001002_3
P0010,weekday,weekday_P0010_P001001_3
P0010,weekday,weekday_P0010_P001002_4
P0010,weekday,weekday_P0010_P001001_4
P0010,weekday,weekday_P0010_P001002_5
P0010,weekday,weekday_P0010_P001001_5
P0010,weekday,weekday_P0010_P001002_6
P0010,weekday,weekday_P0010_P001001_6
P0010,weekday,weekday_P0010_P001002_7
P0010,weekday,weekday_P0010_P001001_7
P0010,weekday,weekday_P0010_P001002_8
P0010,weekday,weekday_P0010_P001001_8
P0010,weekday,weekday_P0010_P001002_9
P0010,weekday,weekday_P0010_P001001_9
P0010,weekday,weekday_P0010_P001002_10
P0010,weekday,weekday_P0010_P001001_10
P0010,weekday,weekday_P0010_P001002_11
P0010,weekday,weekday_P0010_P001001_11
P0010,weekday,weekday_P0010_P001002_12
P0010,weekday,weekday_P0010_P001001_12
P0010,weekday,weekday_P0010_P001002_13
P0010,weekday,weekday_P0010_P001001_13
P0010,weekday,weekday_P0010_P001002_14
P0010,weekday,weekday_P0010_P001001_14
P0010,weekday,weekday_P0010_P001002_15
P0010,weekday,weekday_P0010_P001001_15
P0010,weekday,weekday_P0010_P001002_16
P0010,weekday,weekday_P0010_P001001_16
P0010,weekday,weekday_P0010_P001002_17
P0010,weekday,weekday_P0010_P001001_17
P0010,weekday,weekday_P0010_P001002_18
P0010,weekday,weekday_P0010_P001001_18
U8010,weekend,weekend_U8010_U801002_0
U8010,weekend,weekend_U8010_U801001_0
U8010,weekend,weekend_U8010_U801002_1
U8010,weekend,weekend_U8010_U801001_1
U8010,weekend,weekend_U8010_U801002_2
U8010,weekend,weekend_U8010_U801001_2
U8010,weekend,weekend_U8010_U801002_3
U8010,weekend,weekend_U8010_U801001_3
U8010,weekend,weekend_U8010_U801002_4
U8010,weekend,weekend_U8010_U801001_4
U8010,weekend,weekend_U8010_U801002_5
U8010,weekend,weekend_U8010_U801001_5
U8010,weekend,weekend_U8010_U801002_6
U8010,weekend,weekend_U8010_U801001_6
U8010,weekend,weekend_U8010_U801002_7
U8010,weekend,weekend_U8010_U801001_7
U8010,weekend,weekend_U8010_U801002_8
U8010,weekend,weekend_U8010_U801001_8
U8010,weekend,weekend_U8010_U801002_9
U8010,weekend,weekend_U8010_U801001_9
U8010,weekend,weekend_U8010_U801002_10
U8010,weekend,weekend_U8010_U801001_10
U8010,weekend,weekend_U8010_U801002_11
U8010,weekend,weekend_U8010_U801001_11
U8010,weekend,weekend_U8010_U801002_12
U8010,weekend,weekend_U8010_U801001_12
U8010,weekend,weekend_U8010_U801002_13
U8010,weekend,weekend_U8010_U801001_14
U8220,weekend,weekend_U8220_U822002_0
U8220,weekend,weekend_U8220_U822002_1
U8220,weekend,weekend_U8220_U822002_2
U8220,weekend,weekend_U8220_U822002_3
U1800,weekday,weekday_U1800_U180002_0
U1800,weekday,weekday_U1800_U180001_0
U1800,weekday,weekday_U1800_U180002_1
U1800,weekday,weekday_U1800_U180001_1
U1800,weekday,weekday_U1800_U180002_2
U1800,weekday,weekday_U1800_U180001_2
U1800,weekday,weekday_U1800_U180002_3
